Date,Team,Acquired,Relinquised,Injury part,Descriptive Verb,##,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS,&&,MONTH,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUS_MINUS
2011/4/16,Cavaliers,,Ramon Sessions,hernia/,surgery/,##,March,15,28.0,13.2,4.7,10.8,0.432,0.0,0.2,0.0,3.9,5.0,0.773,0.7,3.1,3.9,4.7,2.8,0.7,0.0,0.8,24.0,0,0,-8.9,&&,April,8,23.2,17.6,6.0,11.3,0.533,0.0,0.4,0.0,5.6,6.1,0.918,0.4,2.1,2.5,4.0,2.4,0.4,0.0,1.0,25.4,0,0,-1.5
2011/4/16,Cavaliers,,Samardo Samuels,wrist/,surgery/,##,March,13,26.2,11.9,4.4,10.0,0.438,0.0,0.2,0.0,3.2,5.1,0.621,3.1,2.8,5.8,1.0,1.8,0.8,0.5,3.2,22.5,2,0,-4.6,&&,April,1,28.4,9.0,4.0,7.0,0.571,0.0,0.0,0.0,1.0,4.0,0.25,3.0,6.0,9.0,0.0,5.0,0.0,1.0,5.0,17.8,0,0,-6.0
2011/4/16,Cavaliers,,Semih Erden,shoulder/,surgery/separated/,##,March,1,10.7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,8.0,0,0,-2.0,&&,April,3,17.8,4.3,1.3,3.7,0.364,0.0,0.0,0.0,1.7,2.0,0.833,0.3,1.7,2.0,0.3,0.3,0.7,0.7,3.3,10.9,0,0,-2.7
2011/4/18,Rockets,,Luis Scola,knee/,surgery/,##,March,9,29.3,15.1,6.6,12.4,0.527,0.0,0.0,0.0,2.0,2.4,0.818,1.4,5.3,6.8,2.2,1.3,0.2,0.7,2.3,27.9,1,0,5.9,&&,April,4,34.0,17.5,7.8,13.8,0.564,0.0,0.0,0.0,2.0,2.5,0.8,2.5,7.5,10.0,3.8,4.5,1.0,0.0,3.3,33.6,3,0,0.5
2011/12/17,Celtics,,Jeff Green,heart/,surgery/,##,November,15,21.5,8.7,3.2,7.6,0.421,0.5,1.6,0.292,1.9,2.5,0.757,0.4,2.1,2.5,0.8,1.5,0.6,0.5,1.5,14.8,0,0,-1.4,&&,December,14,26.0,11.4,4.3,10.4,0.414,0.8,2.4,0.324,2.1,2.4,0.853,1.1,2.8,3.9,0.9,1.4,0.9,0.6,2.0,20.8,0,0,-2.0
2011/12/20,Grizzlies,,Darrell Arthur,Achilles/tendon/,rupture/,##,November,3,13.5,5.0,2.3,4.7,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.7,1.0,1.7,0.7,0.0,0.0,0.7,1.3,10.0,0,0,0.3,&&,December,13,15.3,5.6,2.5,5.7,0.446,0.0,0.3,0.0,0.5,0.6,0.875,0.9,1.6,2.5,0.7,1.2,0.5,0.6,2.4,11.8,0,0,-1.4
2012/1/2,Spurs,,Manu Ginobili,hand/,broken/,##,December,4,25.7,19.8,6.5,10.8,0.605,3.3,6.0,0.542,3.5,3.8,0.933,0.5,3.8,4.3,3.3,2.0,1.3,0.5,1.5,33.0,0,0,7.5,&&,January,1,12.7,8.0,3.0,6.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,16.4,0,0,-5.0
2012/1/6,Kings,,Chuck Hayes,shoulder/,dislocate/,##,December,4,29.0,5.8,2.5,6.0,0.417,0.0,0.0,0.0,0.8,1.5,0.5,3.5,7.3,10.8,1.8,0.5,0.3,0.8,4.5,23.8,0,0,-10.8,&&,January,6,20.0,4.0,1.5,4.3,0.346,0.0,0.2,0.0,1.0,1.2,0.857,1.8,2.8,4.7,1.0,1.2,0.8,0.0,1.3,12.4,0,0,-0.3
2012/1/7,Timberwolves,,Michael Beasley,foot/,sprained/,##,December,3,27.8,14.3,6.3,15.3,0.413,0.3,1.7,0.2,1.3,3.0,0.444,1.3,3.7,5.0,0.7,2.3,0.7,0.3,3.3,22.0,0,0,-3.7,&&,January,7,31.8,15.1,5.7,13.3,0.43,1.0,2.0,0.5,2.7,3.6,0.76,1.6,6.0,7.6,1.6,2.4,0.6,0.4,2.0,27.2,2,0,3.7
2012/1/17,Hawks,,Al Horford,muscle/,surgery/torn/,##,December,4,28.5,11.5,4.5,8.5,0.529,0.0,0.0,0.0,2.5,4.0,0.625,2.3,4.0,6.3,1.8,0.8,1.0,1.8,2.0,29.1,1,0,4.3,&&,January,7,33.4,12.9,5.6,9.9,0.565,0.0,0.1,0.0,1.7,2.0,0.857,2.4,5.0,7.4,2.4,1.9,0.9,1.0,1.9,29.1,1,0,5.0
2012/1/18,Thunder,,Eric Maynor,knee/,surgery/torn/,##,December,5,16.5,4.0,1.6,5.0,0.32,0.8,2.2,0.364,0.0,0.0,0.0,0.6,1.2,1.8,3.4,1.8,0.8,0.0,1.4,11.9,0,0,3.6,&&,January,4,13.6,4.5,1.5,3.5,0.429,0.5,1.5,0.333,1.0,1.0,1.0,0.0,1.0,1.0,1.3,0.5,0.3,0.0,1.5,7.8,0,0,-1.3
2012/1/19,Warriors,,Kwame Brown,muscle/chest/,surgery/torn/,##,December,4,14.2,2.8,0.8,2.0,0.375,0.0,0.0,0.0,1.3,2.5,0.5,1.8,4.3,6.0,0.3,1.0,1.3,0.0,2.3,13.1,0,0,6.5,&&,January,5,26.0,9.2,3.6,6.4,0.563,0.0,0.0,0.0,2.0,4.8,0.417,1.8,4.8,6.6,0.6,2.0,0.6,0.0,2.4,17.8,0,0,-10.8
2012/1/24,Nets,,Damion James,foot/,surgery/,##,December,4,23.7,3.0,1.3,4.8,0.263,0.0,0.0,0.0,0.5,0.5,1.0,0.8,4.5,5.3,0.0,2.0,0.5,0.5,2.3,10.3,0,0,-4.0,&&,January,3,25.3,7.3,2.7,5.3,0.5,0.0,0.3,0.0,2.0,3.3,0.6,1.3,2.7,4.0,1.0,1.3,1.7,1.7,2.7,22.3,0,0,-4.0
