2013/10/15,Kings,,Carl Landry,muscle/hip/,surgery/torn/
2013/10/15,Pistons,,Brandon Jennings,tooth/,
2013/10/16,Clippers,,Maalik Wayns,knee/,surgery/torn/
2013/10/17,Bobcats,,Brendan Haywood,foot/,surgery/fracture/
2013/10/28,Pacers,,Danny Granger,calf/,strained/
2013/10/29,Bucks,,Carlos Delfino,foot/,surgery/
2013/10/29,Cavaliers,,Carrick Felix,hernia/,
2013/10/29,Celtics,,Rajon Rondo,knee/,surgery/torn/
2013/10/29,Hawks,,Lou Williams,knee/,surgery/
2013/10/29,Nuggets,,Danilo Gallinari,knee/,surgery/torn/
2013/10/29,Timberwolves,,Chase Budinger,knee/,surgery/
2013/10/29,Warriors,,Festus Ezeli,knee/,surgery/
2013/11/1,Timberwolves,,Ronny Turiaf,elbow/,fracture/
2013/11/6,Knicks,,Tyson Chandler,fibula/,fracture/
2013/11/10,Nuggets,,JaVale McGee,tibia/,fracture/
2013/11/11,Bucks,,Larry Sanders,thumb/ligament/,surgery/torn/
2013/11/11,Lakers,,Steve Nash,back/,nerve/
2013/11/21,Clippers,,Matt Barnes,eye/,surgery/torn/
2013/11/23,Bulls,,Derrick Rose,knee/,torn/
2013/11/23,Grizzlies,,Marc Gasol,knee/,sprained/
2013/11/25,Bulls,,Derrick Rose,knee/,surgery/torn/
2013/11/30,Jazz,,Andris Biedrins,ankle/,sprained/
2013/12/1,Pelicans,,Anthony Davis,hand/,fracture/
2013/12/2,Lakers,,Jordan Farmar,hamstring/,torn/
2013/12/4,Bobcats,,Michael Kidd-Gilchrist,hand/,fracture/
2013/12/9,Bucks,,Zaza Pachulia,foot/,fracture/
2013/12/9,Pelicans,,Tyreke Evans,ankle/,sprained/
2013/12/12,Lakers,,Steve Blake,ligament/elbow/,torn/
2013/12/13,Warriors,,Jermaine O'Neal,wrist/ligament/,surgery/torn/
2013/12/14,Bucks,,Carlos Delfino,foot/,surgery/
2013/12/16,Knicks,,Pablo Prigioni,toe/,fracture/
2013/12/19,Lakers,,Kobe Bryant,tibia/,fracture/
2013/12/21,Nets,,Brook Lopez,foot/,fracture/
2013/12/21,Rockets,,Patrick Beverley,hand/,fracture/
2013/12/27,Hawks,,Al Horford,muscle/,torn/
2013/12/27,Thunder,,Russell Westbrook,knee/,surgery/
2013/12/30,Lakers,,Xavier Henry,knee/,injury/
2013/12/31,Hawks,,Al Horford,muscle/,surgery/torn/
2014/1/3,Clippers,,Chris Paul,shoulder/,separated/
2014/1/4,Nets,,Brook Lopez,foot/,surgery/fracture/
2014/1/10,Suns,,Eric Bledsoe,knee/,surgery/
2014/1/17,Mavericks,,Gal Mekel,knee/,surgery/torn/
2014/1/21,Nuggets,,Danilo Gallinari,knee/,surgery/
2014/1/22,Celtics,,Avery Bradley,ankle/,sprained/
2014/1/22,Raptors,,Landry Fields,wrist/,surgery/
2014/1/22,Spurs,,Kawhi Leonard,hand/,fracture/
2014/1/23,Hawks,,Pero Antic,ankle/,fracture/
2014/1/23,Knicks,,Andrea Bargnani,ligament/elbow/,torn/
2014/1/26,Bucks,,Carlos Delfino,foot/,surgery/
2014/1/28,Timberwolves,,Nikola Pekovic,ankle/,bursitis/
2014/1/31,Nuggets,,Nate Robinson,knee/,torn/
2014/1/31,Nuggets,,Nate Robinson,knee/,surgery/torn/
2014/2/3,Hawks,,John Jenkins,back/,injury/
2014/2/3,Hawks,,John Jenkins,back/,surgery/
2014/2/6,Lakers,,Nick Young,knee/,fracture/
2014/2/9,Nuggets,,Ty Lawson,rib/,fracture/
2014/2/15,Bucks,,Larry Sanders,orbital/,surgery/fracture/
2014/2/19,Pistons,,Chauncey Billups,knee/,surgery/
2014/2/20,Nuggets,,JaVale McGee,tibia/,surgery/fracture/
2014/2/20,Timberwolves,,Ronny Turiaf,knee/,bruise/
2014/2/24,Wizards,,Nene,knee/,injury/sprained/
2014/2/28,Cavaliers,,Anthony Bennett,ankle/knee/,injury/sprained/
2014/2/28,Celtics,,Gerald Wallace,knee/,torn/
2014/2/28,Hawks,,Gustavo Ayon,shoulder/,surgery/
